연도,시도,시군구,sigungu_cd,stnId,참조관측소,거리_km,연평균기온,겨울철_평균최저기온,겨울철_자료완전성,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_연평균,SPI3_최저월(최심가뭄),SPI3_최고월(최다습),SPI3_유효월수,연간관측일수,표고_m,표고_비고,토양수분_비고,비고
2016,강원특별자치도,고성군,51820,90,속초,20.12,12.85,-3.13,True,23.04,1333.8,1.88,1679.8,2483.9,-0.48,-1.99,1.0,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2017,강원특별자치도,고성군,51820,90,속초,20.12,13.16,-1.58,True,23.06,1208.2,1.81,1732.6,2537.7,-0.41,-1.63,0.97,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2018,강원특별자치도,고성군,51820,90,속초,20.12,12.68,-4.7,True,24.01,1777.0,1.85,1729.6,2519.2,0.43,-0.82,1.61,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2019,강원특별자치도,고성군,51820,90,속초,20.12,13.83,-2.38,True,23.51,1355.5,1.86,1813.3,2632.8,-0.26,-1.26,0.77,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2020,강원특별자치도,고성군,51820,90,속초,20.12,13.31,-0.01,True,23.17,2085.8,2.05,1636.2,2430.8,0.94,-2.59,2.43,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2021,강원특별자치도,고성군,51820,90,속초,20.12,13.25,-3.24,True,23.44,1199.7,1.96,1718.6,2547.7,-0.47,-1.79,1.62,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2022,강원특별자치도,고성군,51820,90,속초,20.12,12.92,-3.45,True,23.3,1637.3,1.94,1737.2,2563.5,0.26,-0.59,1.07,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2023,강원특별자치도,고성군,51820,90,속초,20.12,13.69,-3.48,True,24.17,1768.8,1.89,1867.8,2706.0,0.14,-1.17,1.06,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2024,강원특별자치도,고성군,51820,90,속초,20.12,14.14,-2.26,True,25.61,1234.1,2.25,2040.3,2882.5,0.15,-1.58,1.65,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2025,강원특별자치도,고성군,51820,90,속초,20.12,13.92,-2.23,True,25.67,1390.6,2.42,1938.3,2763.9,-0.33,-1.66,1.72,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 20.12km)"
2016,강원특별자치도,동해시,51170,106,동해,6.02,14.2,0.06,True,23.43,924.5,1.98,1832.6,2703.6,-0.63,-2.28,0.53,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2017,강원특별자치도,동해시,51170,106,동해,6.02,14.13,0.74,True,23.37,985.7,2.13,1829.8,2657.6,-0.48,-1.52,0.87,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2018,강원특별자치도,동해시,51170,106,동해,6.02,13.22,-2.42,True,23.45,1436.5,2.07,1681.5,2506.0,0.56,-0.97,1.74,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2019,강원특별자치도,동해시,51170,106,동해,6.02,13.45,-0.83,True,22.08,1532.8,2.03,1571.9,2383.6,0.35,-1.06,1.73,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2020,강원특별자치도,동해시,51170,106,동해,6.02,12.96,0.88,True,21.81,1322.4,2.12,1446.8,2237.3,0.48,-2.35,2.07,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2021,강원특별자치도,동해시,51170,106,동해,6.02,13.55,-1.8,True,22.78,1244.6,1.98,1633.0,2483.0,-0.01,-1.87,1.76,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2022,강원특별자치도,동해시,51170,106,동해,6.02,13.75,-1.13,True,23.13,1101.4,1.95,1758.4,2628.3,-0.23,-0.74,0.4,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2023,강원특별자치도,동해시,51170,106,동해,6.02,14.48,-0.9,True,23.73,1356.8,1.88,1878.6,2770.5,0.01,-1.33,0.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2024,강원특별자치도,동해시,51170,106,동해,6.02,14.74,0.17,True,25.43,1275.0,2.21,2116.7,2975.4,0.56,-1.06,2.11,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2025,강원특별자치도,동해시,51170,106,동해,6.02,14.36,-1.68,True,25.71,1055.5,2.45,2021.2,2870.8,-0.65,-2.54,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 6.02km)"
2016,강원특별자치도,삼척시,51230,216,태백,16.73,9.79,-7.49,True,21.11,1141.4,1.56,1240.2,1942.8,-0.18,-1.81,0.92,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2017,강원특별자치도,삼척시,51230,216,태백,16.73,9.07,-7.56,True,20.38,933.8,1.55,1120.0,1801.6,-0.8,-2.23,0.6,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2018,강원특별자치도,삼척시,51230,216,태백,16.73,9.36,-9.77,True,21.95,1489.3,1.57,1266.6,1925.4,0.59,-1.41,1.76,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2019,강원특별자치도,삼척시,51230,216,태백,16.73,9.98,-7.77,True,20.69,1169.8,1.47,1232.8,1903.8,-0.19,-1.05,0.81,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2020,강원특별자치도,삼척시,51230,216,태백,16.73,9.63,-5.57,True,20.92,1530.1,1.46,1149.6,1791.1,0.47,-1.91,1.93,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2021,강원특별자치도,삼척시,51230,216,태백,16.73,9.59,-7.14,True,20.18,1207.4,1.38,1120.2,1774.0,0.03,-1.13,1.6,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2022,강원특별자치도,삼척시,51230,216,태백,16.73,9.12,-9.16,True,20.97,1088.9,1.35,1212.2,1866.7,-0.49,-1.67,0.2,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2023,강원특별자치도,삼척시,51230,216,태백,16.73,10.07,-9.11,True,21.66,1525.8,1.31,1291.3,1986.8,0.33,-1.51,2.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2024,강원특별자치도,삼척시,51230,216,태백,16.73,10.73,-6.95,True,22.86,1327.4,1.44,1521.2,2258.3,0.61,-0.28,2.01,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2025,강원특별자치도,삼척시,51230,216,태백,16.73,10.49,-8.44,True,23.2,1001.3,1.48,1484.2,2193.1,-0.39,-2.61,1.28,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 16.73km)"
2016,강원특별자치도,속초시,51210,90,속초,9.22,12.85,-3.13,True,23.04,1333.8,1.88,1679.8,2483.9,-0.48,-1.99,1.0,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2017,강원특별자치도,속초시,51210,90,속초,9.22,13.16,-1.58,True,23.06,1208.2,1.81,1732.6,2537.7,-0.41,-1.63,0.97,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2018,강원특별자치도,속초시,51210,90,속초,9.22,12.68,-4.7,True,24.01,1777.0,1.85,1729.6,2519.2,0.43,-0.82,1.61,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2019,강원특별자치도,속초시,51210,90,속초,9.22,13.83,-2.38,True,23.51,1355.5,1.86,1813.3,2632.8,-0.26,-1.26,0.77,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2020,강원특별자치도,속초시,51210,90,속초,9.22,13.31,-0.01,True,23.17,2085.8,2.05,1636.2,2430.8,0.94,-2.59,2.43,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2021,강원특별자치도,속초시,51210,90,속초,9.22,13.25,-3.24,True,23.44,1199.7,1.96,1718.6,2547.7,-0.47,-1.79,1.62,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2022,강원특별자치도,속초시,51210,90,속초,9.22,12.92,-3.45,True,23.3,1637.3,1.94,1737.2,2563.5,0.26,-0.59,1.07,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2023,강원특별자치도,속초시,51210,90,속초,9.22,13.69,-3.48,True,24.17,1768.8,1.89,1867.8,2706.0,0.14,-1.17,1.06,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2024,강원특별자치도,속초시,51210,90,속초,9.22,14.14,-2.26,True,25.61,1234.1,2.25,2040.3,2882.5,0.15,-1.58,1.65,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2025,강원특별자치도,속초시,51210,90,속초,9.22,13.92,-2.23,True,25.67,1390.6,2.42,1938.3,2763.9,-0.33,-1.66,1.72,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 9.22km)"
2016,강원특별자치도,양구군,51800,211,인제,19.66,11.21,-7.31,True,22.97,1185.7,1.77,1658.2,2429.4,0.2,-1.35,1.31,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2017,강원특별자치도,양구군,51800,211,인제,19.66,10.57,-7.21,True,22.45,1209.3,1.69,1553.6,2301.6,-0.28,-1.72,1.25,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2018,강원특별자치도,양구군,51800,211,인제,19.66,10.18,-10.22,True,23.3,1214.3,1.8,1501.2,2215.7,0.16,-1.12,1.49,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2019,강원특별자치도,양구군,51800,211,인제,19.66,11.26,-8.72,True,22.72,779.3,1.65,1590.8,2314.4,-0.87,-1.73,0.13,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2020,강원특별자치도,양구군,51800,211,인제,19.66,11.26,-4.39,True,23.21,1429.1,1.57,1529.0,2226.7,0.41,-1.97,2.14,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2021,강원특별자치도,양구군,51800,211,인제,19.66,11.44,-7.93,True,23.25,923.0,1.52,1626.4,2376.0,-0.2,-1.97,1.73,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2022,강원특별자치도,양구군,51800,211,인제,19.66,10.94,-8.51,True,23.31,1497.5,1.45,1626.9,2369.5,0.35,-1.33,1.51,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2023,강원특별자치도,양구군,51800,211,인제,19.66,11.85,-9.13,True,24.08,1225.6,1.32,1789.0,2577.2,0.1,-0.75,1.44,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2024,강원특별자치도,양구군,51800,211,인제,19.66,12.53,-5.2,True,24.87,1094.1,1.45,1923.7,2739.5,0.21,-0.63,1.66,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2025,강원특별자치도,양구군,51800,211,인제,19.66,11.35,-8.7,True,24.34,1202.8,1.43,1731.6,2478.6,-0.07,-1.38,1.82,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 19.66km)"
2016,강원특별자치도,양양군,51830,90,속초,27.52,12.85,-3.13,True,23.04,1333.8,1.88,1679.8,2483.9,-0.48,-1.99,1.0,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 27.52km)"
2017,강원특별자치도,양양군,51830,90,속초,27.52,13.16,-1.58,True,23.06,1208.2,1.81,1732.6,2537.7,-0.41,-1.63,0.97,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 27.52km)"
2018,강원특별자치도,양양군,51830,90,속초,27.52,12.68,-4.7,True,24.01,1777.0,1.85,1729.6,2519.2,0.43,-0.82,1.61,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 27.52km)"
2019,강원특별자치도,양양군,51830,90,속초,27.52,13.83,-2.38,True,23.51,1355.5,1.86,1813.3,2632.8,-0.26,-1.26,0.77,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 27.52km)"
2020,강원특별자치도,양양군,51830,90,속초,27.52,13.31,-0.01,True,23.17,2085.8,2.05,1636.2,2430.8,0.94,-2.59,2.43,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 27.52km)"
2021,강원특별자치도,양양군,51830,90,속초,27.52,13.25,-3.24,True,23.44,1199.7,1.96,1718.6,2547.7,-0.47,-1.79,1.62,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 27.52km)"
2022,강원특별자치도,양양군,51830,90,속초,27.52,12.92,-3.45,True,23.3,1637.3,1.94,1737.2,2563.5,0.26,-0.59,1.07,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,"최근접 관측소 매칭(중심점법:exact(보정), 거리 27.52km)"
