연도,시도,시군구,stnId,참조관측소,매핑방식,연평균기온,겨울철_평균최저기온,겨울철_자료완전성,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_연평균,SPI3_최저월(최심가뭄),SPI3_최고월(최다습),SPI3_유효월수,연간관측일수,표고_m,표고_비고,토양수분_비고,비고
2016,경기도,안성시,203,이천,최근접대체,12.74,-6.26,True,25.18,870.2,1.34,1989.6,2795.8,-0.53,-2.12,0.8,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2017,경기도,안성시,203,이천,최근접대체,11.85,-6.57,True,24.0,1020.0,1.38,1778.4,2547.6,-0.9,-2.14,0.44,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2018,경기도,안성시,203,이천,최근접대체,11.79,-8.82,True,25.46,1425.5,1.42,1818.5,2579.6,0.36,-1.02,1.7,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2019,경기도,안성시,203,이천,최근접대체,12.4,-7.5,True,24.35,997.5,1.3,1858.8,2605.5,-0.51,-1.37,0.66,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2020,경기도,안성시,203,이천,최근접대체,12.48,-3.67,True,24.29,1668.8,1.2,1717.8,2476.1,0.41,-2.02,1.58,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2021,경기도,안성시,203,이천,최근접대체,12.71,-6.8,True,24.56,1076.6,1.1,1838.6,2629.6,-0.28,-1.46,1.38,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2022,경기도,안성시,203,이천,최근접대체,12.25,-7.32,True,24.69,1537.3,1.12,1849.9,2639.0,0.1,-1.64,1.26,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2023,경기도,안성시,203,이천,최근접대체,13.13,-7.59,True,25.14,1633.4,1.02,1963.9,2785.8,0.17,-1.77,1.77,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2024,경기도,안성시,203,이천,최근접대체,13.89,-4.04,True,25.9,1706.7,1.01,2172.6,3010.1,1.02,0.08,1.98,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2025,경기도,안성시,203,이천,최근접대체,13.12,-6.76,True,26.06,1397.5,1.02,2086.9,2875.1,0.13,-0.87,1.42,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,안성시 자체 ASOS 관측소 없음. 이천시와 바로 접경해 지리적으로 가장 근접(수원 관측소와도 유사 거리이나 이천을 채택) - 근사치이므로 정밀 분석 시 재검토 권장
2016,경기도,파주시,99,파주,동일지역,11.71,-7.92,True,23.98,1163.9,1.55,1832.4,2623.2,0.21,-1.02,1.54,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경기도,파주시,99,파주,동일지역,10.64,-8.18,True,23.32,947.8,1.43,1644.0,2382.3,-0.79,-2.27,0.59,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경기도,파주시,99,파주,동일지역,10.52,-11.46,True,24.29,1009.5,1.49,1659.2,2390.8,-0.26,-1.73,1.17,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경기도,파주시,99,파주,동일지역,11.31,-9.37,True,23.41,1022.4,1.31,1654.3,2372.6,-0.66,-1.63,0.9,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경기도,파주시,99,파주,동일지역,11.18,-5.32,True,23.29,1612.3,1.4,1553.0,2253.0,0.44,-1.25,1.68,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경기도,파주시,99,파주,동일지역,11.58,-8.97,True,23.79,1037.9,1.39,1709.0,2458.8,-0.08,-1.56,1.76,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경기도,파주시,99,파주,동일지역,10.75,-10.23,True,23.58,1730.5,1.26,1623.8,2368.8,0.4,-1.52,1.38,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경기도,파주시,99,파주,동일지역,11.8,-9.55,True,23.98,1438.0,1.29,1786.3,2557.2,0.16,-0.78,1.02,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경기도,파주시,99,파주,동일지역,12.53,-5.92,True,24.99,1472.6,1.3,1957.4,2763.4,0.27,-1.11,2.02,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경기도,파주시,99,파주,동일지역,11.64,-9.5,True,24.83,1620.9,1.29,1826.6,2577.2,0.32,-1.15,1.57,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상남도,거제시,294,거제,동일지역,15.57,1.01,True,25.42,2262.6,1.81,2238.6,3166.8,0.52,-1.29,1.66,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상남도,거제시,294,거제,동일지역,15.28,0.68,True,25.52,1411.1,1.84,2207.4,3075.7,-0.6,-1.83,1.2,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상남도,거제시,294,거제,동일지역,15.03,-1.49,True,25.92,2507.6,1.78,2165.4,3075.5,0.59,-1.79,2.05,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상남도,거제시,294,거제,동일지역,15.61,0.79,True,24.66,2268.7,1.68,2168.4,3084.8,0.26,-0.67,1.0,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상남도,거제시,294,거제,동일지역,14.76,2.13,True,23.97,2481.8,1.59,1878.2,2779.8,0.38,-1.25,1.57,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상남도,거제시,294,거제,동일지역,15.22,0.19,True,24.56,2227.9,1.52,2030.1,2973.8,0.07,-1.24,0.99,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상남도,거제시,294,거제,동일지역,14.84,-0.36,True,24.62,1294.0,1.5,2047.8,2966.0,-1.18,-2.41,-0.24,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상남도,거제시,294,거제,동일지역,15.35,-0.29,True,24.87,2585.5,1.39,2099.8,3031.0,0.49,-0.72,1.42,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상남도,거제시,294,거제,동일지역,16.0,1.76,True,25.42,2213.4,1.44,2324.6,3235.2,0.5,-0.38,1.26,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상남도,거제시,294,거제,동일지역,15.24,-0.55,True,25.55,1399.8,1.57,2194.5,3073.3,-0.96,-1.79,-0.11,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상남도,김해시,253,김해시,동일지역,15.45,0.7,True,25.71,1634.0,2.08,2312.1,3233.9,0.59,-0.89,1.81,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상남도,김해시,253,김해시,동일지역,14.62,-0.41,True,25.11,755.8,2.18,2168.2,3025.5,-0.98,-1.98,0.76,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상남도,김해시,253,김해시,동일지역,14.87,-2.98,True,26.08,1469.7,2.13,2242.2,3156.0,0.23,-1.61,1.18,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상남도,김해시,253,김해시,동일지역,15.62,-0.3,True,24.87,1494.0,2.08,2252.4,3179.5,0.09,-0.76,0.83,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상남도,김해시,253,김해시,동일지역,14.8,1.46,True,24.59,1702.5,1.93,2028.3,2925.2,0.32,-1.61,1.42,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상남도,김해시,253,김해시,동일지역,15.17,-1.36,True,25.01,1552.6,1.73,2177.6,3122.9,0.13,-1.11,1.08,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상남도,김해시,253,김해시,동일지역,14.94,-1.83,True,25.31,874.0,1.72,2234.6,3160.6,-1.12,-2.26,-0.12,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상남도,김해시,253,김해시,동일지역,15.53,-1.61,True,25.57,1879.6,1.6,2307.2,3254.0,0.61,-0.62,1.46,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상남도,김해시,253,김해시,동일지역,16.15,0.72,True,26.28,1720.0,1.58,2534.1,3449.8,0.89,-0.58,1.79,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상남도,김해시,253,김해시,동일지역,15.45,-1.97,True,26.42,1130.9,1.6,2407.1,3298.6,-0.7,-1.85,0.45,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상남도,남해군,295,남해,동일지역,15.13,0.29,True,25.39,2400.8,1.27,2202.9,3110.2,0.73,-1.62,1.99,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상남도,남해군,295,남해,동일지역,14.95,-0.59,True,25.6,1157.8,1.33,2217.7,3066.4,-0.8,-1.86,1.34,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상남도,남해군,295,남해,동일지역,14.68,-2.48,True,25.84,2203.6,1.29,2119.6,3004.2,0.38,-1.46,1.36,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상남도,남해군,295,남해,동일지역,15.23,-0.41,True,24.65,2171.7,1.28,2128.0,3022.4,0.19,-0.73,0.9,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상남도,남해군,295,남해,동일지역,14.63,1.18,True,24.18,2258.0,1.39,1901.5,2791.6,0.17,-1.27,1.2,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상남도,남해군,295,남해,동일지역,15.12,-0.79,True,24.79,1981.4,1.5,2075.8,3011.6,-0.05,-1.3,0.99,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상남도,남해군,295,남해,동일지역,14.8,-1.32,True,25.0,1338.2,1.5,2088.4,2997.2,-1.02,-2.42,-0.28,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상남도,남해군,295,남해,동일지역,15.32,-1.15,True,25.03,2699.2,1.44,2163.5,3092.1,0.49,-0.86,1.77,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상남도,남해군,295,남해,동일지역,15.98,1.21,True,25.95,2375.1,1.6,2388.2,3301.1,0.69,-0.77,1.43,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상남도,남해군,295,남해,동일지역,15.27,-1.01,True,25.79,1434.9,1.55,2264.2,3143.8,-0.69,-1.44,0.08,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상남도,밀양시,288,밀양,동일지역,14.76,-2.57,True,25.95,1568.2,1.04,2212.6,3081.2,0.84,-0.9,2.01,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상남도,밀양시,288,밀양,동일지역,14.27,-3.55,True,26.16,558.1,1.1,2191.0,3003.4,-1.13,-2.17,0.74,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상남도,밀양시,288,밀양,동일지역,13.91,-6.09,True,26.21,1337.0,1.09,2078.6,2915.4,0.28,-1.59,1.16,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상남도,밀양시,288,밀양,동일지역,14.36,-3.65,True,24.87,1181.1,1.04,2030.0,2872.2,-0.04,-0.74,1.09,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상남도,밀양시,288,밀양,동일지역,14.13,-1.63,True,24.95,1398.8,1.06,1918.9,2762.5,0.23,-1.22,1.18,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상남도,밀양시,288,밀양,동일지역,14.54,-4.04,True,25.4,1202.5,1.04,2123.4,2996.8,0.01,-0.94,0.92,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상남도,밀양시,288,밀양,동일지역,14.61,-4.19,True,25.97,843.2,1.13,2195.0,3080.8,-1.02,-2.23,-0.24,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상남도,밀양시,288,밀양,동일지역,15.03,-3.95,True,26.02,1874.0,0.98,2236.6,3138.4,0.7,-0.95,2.31,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상남도,밀양시,288,밀양,동일지역,15.84,-1.05,True,26.93,1200.9,1.01,2508.2,3393.1,0.48,-0.91,1.75,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상남도,밀양시,288,밀양,동일지역,15.14,-4.28,True,27.27,1314.0,1.3,2450.8,3295.0,-0.26,-1.55,1.18,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
